DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2010-01-26,23.33333,3524.0549763149093,223.2228253163625,42.995354375,819.2561199336643,188.84105675516696,345.3220392746879,15392.927685168,12400663.99551726,14470.275368254,22.0,41109.75925936546,22.16667,48979.43754973164
2010-01-27,24.0,3530.6542151336157,223.2185855,42.896025625,832.4189815493696,191.62278725,362.2474268171821,16034.425468262,12631605.671129104,15191.213459226,24.0,51749.38935999653,24.0,47915.07499696631
2010-01-28,24.0,3571.651452383124,223.155708875,40.23600208333333,873.5129347971673,191.684058875,408.0060596215795,15050.384599892,11852335.637359375,14791.810486126,24.0,52061.55086747851,24.0,47861.87534648703
2010-01-29,24.0,3554.652842149111,223.17988625,41.87789729166666,854.0371343872674,192.47254475,386.1684797941854,15292.605206098,12043340.309522556,14382.218019854,24.0,52974.42508152432,24.0,47835.36525849937
2010-01-30,24.0,3553.51917884299,223.200451625,42.23114125,850.3403671968304,192.61430675,381.8689085700444,15227.694360706002,12000901.261936674,14787.97370166,24.0,53288.03024992199,24.0,47980.904748306784
2010-01-31,24.0,3558.0688102355416,223.211509625,42.24381979166667,851.8859860247836,192.427058,383.5366159355788,15157.122685774,11955655.757786436,15426.641069984,24.0,53295.47732146391,24.0,48323.08691507792
2010-02-01,24.0,3561.8361987179064,223.22408975,42.29213125,852.7093682850292,193.021217,384.15130399894,15196.056613388,11966290.769669613,15500.043159686,24.0,53432.4353199726,24.0,48277.66920041539
2010-02-02,24.0,3570.3648860633352,223.238116625,42.05473541666667,857.0553969096234,193.11001025,387.8753413057406,15037.175997632,11879949.23470891,15877.431795686,24.0,52395.51791655611,24.0,48386.6383227389
2010-02-03,24.0,3600.173767165785,223.206396875,40.59522104166667,883.0228356779812,192.975356,414.6044638849228,15570.614834618002,12752981.121210858,14992.958629114,24.0,49047.31407774,24.0,48761.7566765
2010-02-04,24.0,3596.487642119374,223.2250625,40.99142166666667,875.2713421164839,189.586770125,407.67633445395376,15797.48830296,12595504.546779726,18686.335413434,24.0,49424.78449569195,24.0,48718.3251608495
