DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,F_4_ON_STREAM_HRS,F_4_BORE_WI_VOL,F_5_ON_STREAM_HRS,F_5_BORE_WI_VOL
2011-10-12,24.0,3551.52920064524,217.568708375,3021.765697403897,0.0,100.0,529.7635032413431,195.721983125,104.25437098165116,9760.716783398,8647513.387637595,25465.807768643997,24.0,34440.392904416054,24.0,41566.2133501
2011-10-13,24.0,3551.835698623449,217.5467375,3021.6526827897997,0.0,100.0,530.1830158336494,195.699214625,104.88163200392528,9854.56075755,8647294.789850589,25472.412069774,24.0,33667.477245646434,24.0,42101.24065516624
2011-10-14,20.41666,3625.071298966811,217.43557509913768,3042.866367138453,0.0,73.76722625,582.2049318283575,185.10302048076034,164.94699988286652,7665.580872538,6870146.694051773,20509.437015844,19.33333,25613.484769340437,19.41666,31916.385927580002
2011-10-15,16.15833,3571.784460661542,217.458787671622,3028.1404992427965,0.0,60.20825333333333,543.6439614187459,191.71502920720522,114.18115545635904,7619.665255158,6132129.488212754,17670.090714792,22.24167,23129.807599439555,22.24167,26527.2762055
2011-10-16,,,,,,,,,,,,,0.0,0.0,0.0,305.3628787223604
2011-10-17,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2011-10-18,,,,,,,,,,,,,0.0,0.050614630049083335,0.0,0.0
2011-10-19,0.0,4233.414725593846,211.47017000000002,2644.37300091478,0.0,1.1739120833333334,1589.041724679066,46.995332000000005,1589.041724679066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-20,0.0,4263.0343324482055,211.36892,2569.533383069042,0.0,1.1954083333333334,1693.500949379164,45.268969999999996,1693.500949379164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-21,0.0,4351.337223361532,211.459982,2568.797026473216,0.0,0.98662875,1782.540196888316,50.396252000000004,1782.540196888316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-22,0.0,4360.584539460936,211.33230799999998,2564.6522830343897,0.0,0.9924741666666667,1795.932256426546,53.00474,1795.932256426546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,0.0,4360.257769437222,211.211096,2574.983466149868,0.0,0.9918652083333334,1785.2743032873539,52.497374,1785.2743032873539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,0.0,4235.3605518868535,206.006702,2506.0358613726416,0.0,0.982755,1729.324690514212,51.623059999999995,1729.324690514212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-25,,,,,,,,,,,,,0.0,0.0,0.0,0.0
2011-10-26,0.0,4359.371878933518,210.886448,2587.654978205714,0.0,1.0657689583333334,1771.716900727804,50.611298000000005,1771.716900727804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-27,0.0,4359.43119936836,210.871148,2586.710927569072,0.0,1.07424,1772.720271799288,50.255438,1772.720271799288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-28,0.0,4359.43119936836,210.871148,2586.710927569072,0.0,1.07424,1772.720271799288,50.255438,1772.720271799288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-29,0.0,4359.43119936836,210.871148,2586.710927569072,0.0,1.07424,1772.720271799288,50.255438,1772.720271799288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-30,0.0,4359.176948213646,210.785288,2587.562154053394,0.0,1.0492612,1771.614794160252,51.064592000000005,1771.614794160252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-31,0.0,4358.360240710967,210.475832,2594.13192847158,0.0,1.997766875,1764.2283122393878,52.832966,1763.48339841702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,4358.424492428901,210.414488,3653.904695358068,0.0,1.657356875,704.519797070834,51.779696,497.27551828037195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-02,0.0,4357.343526167588,210.449282,2760.01086423349,0.0,1.15656125,1597.332661934098,51.604772,1479.320530844328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-03,0.0,4358.488018958145,210.356456,2797.8149506431896,0.0,1.1565775,1560.6730683149558,51.345392000000004,1552.267406209166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-04,0.0,4358.21940906737,210.28181,2797.422478524162,0.0,1.0346552083333334,1560.7969305432077,51.802214,1549.319079071102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-05,6.5,3889.0911673372752,215.27079775378078,2812.5953419690054,0.0,13.818426041666667,1076.49582536827,123.87907178041249,419.85549922922775,3158.805781426,2623678.0906596226,6011.48648095,15.85833,15135.683984277848,15.85833,9140.352267287037
