DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
03-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.74,101.168,209.254,22.12,90.00188,%,32.486,87.461,3.508,963,"149,201","3,152",,production,OP
04-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.777,101.159,209.316,21.992,90.10061,%,32.461,87.08,3.471,963,"148,030","3,150",,production,OP
05-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.761,101.152,209.316,22.046,91.27405,%,32.444,87.388,3.447,961,"147,975","3,147",,production,OP
06-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.551,101.15,209.245,22.06,96.71929,%,32.306,88.156,3.34,962,"149,137","3,287",,production,OP
07-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.619,101.15,209.34,22.125,98.98542,%,32.279,88.201,3.308,"1,004","147,594","3,348",,production,OP
08-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.817,101.146,209.499,22.305,99.13053,%,32.318,88.474,3.348,978,"151,361","3,362",,production,OP
09-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.968,101.14,209.721,22.192,97.19594,%,32.247,88.038,3.284,980,"154,021","3,390",,production,OP
10-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.868,101.13,209.688,21.875,99.18064,%,32.179,86.696,3.221,966,"151,560","3,373",,production,OP
11-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.795,101.117,209.666,21.768,99.05895,%,32.129,85.703,3.181,964,"145,350","3,363",,production,OP
12-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.795,101.109,209.631,21.918,99.05159,%,32.165,87.083,3.219,961,"148,446","3,344",,production,OP
13-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,241.924,101.109,209.794,21.838,96.98227,%,32.13,86.021,3.188,952,"151,377","3,347",,production,OP
14-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.16,101.109,210.032,21.671,96.97516,%,32.127,84.949,3.171,953,"151,676","3,375",,production,OP
15-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.325,101.098,210.127,21.927,96.9641,%,32.197,86.615,3.237,959,"154,866","3,383",,production,OP
16-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.206,101.088,210.061,22.012,99.02501,%,32.145,87.191,3.198,964,"154,610","3,386",,production,OP
17-Feb-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,M?RSK INSPIRER,24,242.091,101.079,209.966,21.965,96.94552,%,32.125,87.561,3.186,964,"154,694","3,310",,production,OP
